Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Clothing
4,0,Transport
5,0,Books
6,0,Sports
7,1,Mammals
8,1,Reptiles
9,1,Fish
10,1,Birds
11,1,Amphibians
12,1,Dinosaurs
13,2,Fruit
14,2,Vegetables
15,2,Meat
16,2,Dairy
17,2,Beans
18,2,Grains
19,3,Tops
20,3,Bottoms
21,3,Shoes
22,3,Hats
23,3,Dresses
24,3,Footwear
25,4,Train
26,4,Car
27,4,Bus
28,4,Bicycle
29,4,Plane
30,4,Boat
31,5,Textbook
32,5,Travel
33,5,Self Help
34,5,Horror
35,5,Mystery
36,5,Romance
37,6,Men
38,6,Woman
39,6,Individual
40,6,Team
41,6,Acrobatic
42,6,Air
